"week","home_team","away_team","home_score","away_score","home_win","away_win","season"
1,"ATL","CAR",24,10,TRUE,FALSE,2023
1,"BAL","HOU",25,9,TRUE,FALSE,2023
1,"CHI","GB",20,38,FALSE,TRUE,2023
1,"CLE","CIN",24,3,TRUE,FALSE,2023
1,"DEN","LV",16,17,FALSE,TRUE,2023
1,"IND","JAX",21,31,FALSE,TRUE,2023
1,"KC","DET",20,21,FALSE,TRUE,2023
1,"LAC","MIA",34,36,FALSE,TRUE,2023
1,"MIN","TB",17,20,FALSE,TRUE,2023
1,"NE","PHI",20,25,FALSE,TRUE,2023
1,"NO","TEN",16,15,TRUE,FALSE,2023
1,"NYG","DAL",0,40,FALSE,TRUE,2023
1,"NYJ","BUF",22,16,TRUE,FALSE,2023
1,"PIT","SF",7,30,FALSE,TRUE,2023
1,"SEA","LA",13,30,FALSE,TRUE,2023
1,"WAS","ARI",20,16,TRUE,FALSE,2023
2,"ATL","GB",25,24,TRUE,FALSE,2023
2,"BUF","LV",38,10,TRUE,FALSE,2023
2,"CIN","BAL",24,27,FALSE,TRUE,2023
2,"DET","SEA",31,37,FALSE,TRUE,2023
2,"HOU","IND",20,31,FALSE,TRUE,2023
2,"JAX","KC",9,17,FALSE,TRUE,2023
2,"PHI","MIN",34,28,TRUE,FALSE,2023
2,"TB","CHI",27,17,TRUE,FALSE,2023
2,"TEN","LAC",27,24,TRUE,FALSE,2023
1,"ARI","KC",21,44,FALSE,TRUE,2022
1,"ATL","NO",26,27,FALSE,TRUE,2022
1,"CAR","CLE",24,26,FALSE,TRUE,2022
1,"CHI","SF",19,10,TRUE,FALSE,2022
1,"CIN","PIT",20,23,FALSE,TRUE,2022
1,"DAL","TB",3,19,FALSE,TRUE,2022
1,"DET","PHI",35,38,FALSE,TRUE,2022
1,"HOU","IND",20,20,TRUE,TRUE,2022
1,"LA","BUF",10,31,FALSE,TRUE,2022
1,"LAC","LV",24,19,TRUE,FALSE,2022
1,"MIA","NE",20,7,TRUE,FALSE,2022
1,"MIN","GB",23,7,TRUE,FALSE,2022
1,"NYJ","BAL",9,24,FALSE,TRUE,2022
1,"SEA","DEN",17,16,TRUE,FALSE,2022
1,"TEN","NYG",20,21,FALSE,TRUE,2022
1,"WAS","JAX",28,22,TRUE,FALSE,2022
2,"BAL","MIA",38,42,FALSE,TRUE,2022
2,"BUF","TEN",41,7,TRUE,FALSE,2022
2,"CLE","NYJ",30,31,FALSE,TRUE,2022
2,"DAL","CIN",20,17,TRUE,FALSE,2022
2,"DEN","HOU",16,9,TRUE,FALSE,2022
2,"DET","WAS",36,27,TRUE,FALSE,2022
2,"GB","CHI",27,10,TRUE,FALSE,2022
2,"JAX","IND",24,0,TRUE,FALSE,2022
2,"KC","LAC",27,24,TRUE,FALSE,2022
2,"LA","ATL",31,27,TRUE,FALSE,2022
2,"LV","ARI",23,29,FALSE,TRUE,2022
2,"NO","TB",10,20,FALSE,TRUE,2022
2,"NYG","CAR",19,16,TRUE,FALSE,2022
2,"PHI","MIN",24,7,TRUE,FALSE,2022
2,"PIT","NE",14,17,FALSE,TRUE,2022
2,"SF","SEA",27,7,TRUE,FALSE,2022
3,"ARI","LA",12,20,FALSE,TRUE,2022
3,"CAR","NO",22,14,TRUE,FALSE,2022
3,"CHI","HOU",23,20,TRUE,FALSE,2022
3,"CLE","PIT",29,17,TRUE,FALSE,2022
3,"DEN","SF",11,10,TRUE,FALSE,2022
3,"IND","KC",20,17,TRUE,FALSE,2022
3,"LAC","JAX",10,38,FALSE,TRUE,2022
3,"MIA","BUF",21,19,TRUE,FALSE,2022
3,"MIN","DET",28,24,TRUE,FALSE,2022
3,"NE","BAL",26,37,FALSE,TRUE,2022
3,"NYG","DAL",16,23,FALSE,TRUE,2022
3,"NYJ","CIN",12,27,FALSE,TRUE,2022
3,"SEA","ATL",23,27,FALSE,TRUE,2022
3,"TB","GB",12,14,FALSE,TRUE,2022
3,"TEN","LV",24,22,TRUE,FALSE,2022
3,"WAS","PHI",8,24,FALSE,TRUE,2022
4,"ATL","CLE",23,20,TRUE,FALSE,2022
4,"BAL","BUF",20,23,FALSE,TRUE,2022
4,"CAR","ARI",16,26,FALSE,TRUE,2022
4,"CIN","MIA",27,15,TRUE,FALSE,2022
4,"DAL","WAS",25,10,TRUE,FALSE,2022
4,"DET","SEA",45,48,FALSE,TRUE,2022
4,"GB","NE",27,24,TRUE,FALSE,2022
4,"HOU","LAC",24,34,FALSE,TRUE,2022
4,"IND","TEN",17,24,FALSE,TRUE,2022
4,"LV","DEN",32,23,TRUE,FALSE,2022
4,"NO","MIN",25,28,FALSE,TRUE,2022
4,"NYG","CHI",20,12,TRUE,FALSE,2022
4,"PHI","JAX",29,21,TRUE,FALSE,2022
4,"PIT","NYJ",20,24,FALSE,TRUE,2022
4,"SF","LA",24,9,TRUE,FALSE,2022
4,"TB","KC",31,41,FALSE,TRUE,2022
5,"ARI","PHI",17,20,FALSE,TRUE,2022
5,"BAL","CIN",19,17,TRUE,FALSE,2022
5,"BUF","PIT",38,3,TRUE,FALSE,2022
5,"CAR","SF",15,37,FALSE,TRUE,2022
5,"CLE","LAC",28,30,FALSE,TRUE,2022
5,"DEN","IND",9,12,FALSE,TRUE,2022
5,"GB","NYG",22,27,FALSE,TRUE,2022
5,"JAX","HOU",6,13,FALSE,TRUE,2022
5,"KC","LV",30,29,TRUE,FALSE,2022
5,"LA","DAL",10,22,FALSE,TRUE,2022
5,"MIN","CHI",29,22,TRUE,FALSE,2022
5,"NE","DET",29,0,TRUE,FALSE,2022
5,"NO","SEA",39,32,TRUE,FALSE,2022
